Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
8525;181;"ORANGE service fixe";"Antenne parabolique";268181;1.80;"Directif";169.00;27.00;"FH";14.20;14.50;"GHz"
8531;6041;"ORANGE service fixe";"Yagi";1039870;2.20;"Directif";297.00;6.00;"FH ABI";154.00;156.00;"MHz"
8531;6041;"ORANGE service fixe";"Yagi";1039870;2.20;"Directif";297.00;6.00;"FH ABI";157.40;160.60;"MHz"
8545;6907;"ORANGE service fixe";"Antenne parabolique";3714400;0.90;"Directif";23.60;14.00;"FH";17.70;18.10;"GHz"
8545;6907;"ORANGE service fixe";"Antenne parabolique";3714400;0.90;"Directif";23.60;14.00;"FH";18.60;18.80;"GHz"
8545;6907;"ORANGE service fixe";"Antenne parabolique";3714400;0.90;"Directif";23.60;14.00;"FH";18.80;19.30;"GHz"
8545;6907;"ORANGE service fixe";"Antenne parabolique";4947022;0.60;"Directif";75.20;9.00;"FH";22.40;22.50;"GHz"
8545;6907;"ORANGE service fixe";"Antenne parabolique";4947022;0.60;"Directif";75.20;9.00;"FH";22.40;22.50;"GHz"
8545;6907;"ORANGE service fixe";"Antenne parabolique";4947022;0.60;"Directif";75.20;9.00;"FH";23.40;23.50;"GHz"
8545;6907;"ORANGE service fixe";"Antenne parabolique";4947022;0.60;"Directif";75.20;9.00;"FH";23.40;23.50;"GHz"
8549;6909;"ORANGE service fixe";"Antenne parabolique";268278;2.40;"Directif";116.50;20.00;"FH";8025.00;8175.00;"MHz"
8549;6909;"ORANGE service fixe";"Antenne parabolique";268278;2.40;"Directif";116.50;20.00;"FH";8215.00;8400.00;"MHz"
8549;6909;"ORANGE service fixe";"Antenne parabolique";268280;2.40;"Directif";290.80;20.00;"FH";8025.00;8175.00;"MHz"
8549;6909;"ORANGE service fixe";"Antenne parabolique";268280;2.40;"Directif";290.80;20.00;"FH";8215.00;8400.00;"MHz"
8551;6910;"ORANGE service fixe";"Antenne parabolique";3714403;3.00;"Directif";110.80;15.00;"FH";8025.00;8175.00;"MHz"
8551;6910;"ORANGE service fixe";"Antenne parabolique";3714403;3.00;"Directif";110.80;15.00;"FH";8215.00;8400.00;"MHz"
8551;6910;"ORANGE service fixe";"Antenne parabolique";3762864;1.00;"Directif";244.10;8.00;"FH";17.70;18.10;"GHz"
8551;6910;"ORANGE service fixe";"Antenne parabolique";3762864;1.00;"Directif";244.10;8.00;"FH";18.60;18.80;"GHz"
8551;6910;"ORANGE service fixe";"Antenne parabolique";3762864;1.00;"Directif";244.10;8.00;"FH";18.80;19.30;"GHz"
8577;110123;"METEO";"Cierge/Perche";3403398;0.80;"Non Directif";;6.00;"RS";400.20;401.00;"MHz"
8577;110123;"METEO";"Cierge/Perche";3403398;0.80;"Non Directif";;6.00;"RS";401.00;402.00;"MHz"
8577;110123;"METEO";"Cierge/Perche";3403398;0.80;"Non Directif";;6.00;"RS";402.00;403.00;"MHz"
8577;110123;"METEO";"Cierge/Perche";3403398;0.80;"Non Directif";;6.00;"RS";403.00;406.00;"MHz"
8577;110123;"METEO";"Antenne parabolique";4637723;0.50;"Non Directif";;6.00;"RS";400.20;401.00;"MHz"
