Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
8531;8.63778;42.23750;"08° 38' 16.00'' Est, 42° 14' 15.00'' Nord";"2A212";"ST PIERRE";"PAESE VILLAGE";"20115";"PIANA";"Bâtiment"; 6.0;"ORANGE Services Fixes"
8545;8.79000;42.16250;"08° 47' 24.00'' Est, 42° 09' 45.00'' Nord";"2A348";"SAINT ANTOIRE";"STADE MUNICIPAL";"20160";"VICO";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
8551;8.70583;42.26639;"08° 42' 21.00'' Est, 42° 15' 59.00'' Nord";"2A198";"PORTO";;"20150";"OTA";"Pylône autostable"; 27.0;"ORANGE Services Fixes"
8577;8.79194;41.91806;"08° 47' 31.00'' Est, 41° 55' 05.00'' Nord";"2A004";;"AÉRODROME DE CAMPO DELL'ORO AEROPORT NAPOLEON BONAPARTE";"20167";"AJACCIO";"Bâtiment"; 6.0;"Météo"
26987;8.66778;42.25500;"08° 40' 04.00'' Est, 42° 15' 18.00'' Nord";"2A212";"SAN LÉONARDO";"PRÈS STATION DE POMPAGE";"20115";"PIANA";"Pylône autostable"; 18.0;"HIVORY"
47038;9.37167;41.83194;"09° 22' 18.00'' Est, 41° 49' 55.00'' Nord";"2A269";"SARI DI PORTO VECCHIO";;"20145";"SARI-SOLENZARA";"Pylône autostable"; 10.0;"EDF ou GDF"
47375;8.76972;41.76778;"08° 46' 11.00'' Est, 41° 46' 04.00'' Nord";"2A098";"PUNTA DI PINCELLI";;"20138";"COTI-CHIAVARI";"Pylône tubulaire"; 12.0;"EDF ou GDF"
91004;8.60028;42.16139;"08° 36' 01.00'' Est, 42° 09' 41.00'' Nord";"2A065";"CHIUNI";"CCHEMI DE BAGHIUCCIA";"20130";"CARGESE";"Pylône autostable"; 12.0;"ORANGE"
91048;8.73444;41.91750;"08° 44' 04.00'' Est, 41° 55' 03.00'' Nord";"2A004";;"AV RAMARONI IMM DIAMANT II";"20167";"AJACCIO";"Immeuble"; 23.0;"Copropriété, Syndic, SCI"
91084;8.92722;41.90056;"08° 55' 38.00'' Est, 41° 54' 02.00'' Nord";"2A085";"SAINA";"N.196";"20117";"CAURO";"Pylône autostable"; 38.0;"ORANGE"
121169;9.09861;41.75389;"09° 05' 55.00'' Est, 41° 45' 14.00'' Nord";"2A278";;"CHIESA";"20127";"SERRA-DI-SCOPAMENE";"Pylône tubulaire"; 11.0;"ORANGE Services Fixes"
121173;9.12139;41.70056;"09° 07' 17.00'' Est, 41° 42' 02.00'' Nord";"2A142";;"LA SORBA";"20170";"LEVIE";"Pylône tubulaire"; 12.0;"ORANGE Services Fixes"
