Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
8641;9.26917;42.27556;"09° 16' 09.00'' Est, 42° 16' 32.00'' Nord";"2B105";"PUNTA ALLA FAVA";;"20212";"ERBAJOLO";"Pylône autostable"; 22.0;"ORANGE Services Fixes"
26949;9.49278;42.27361;"09° 29' 34.00'' Est, 42° 16' 25.00'' Nord";"2B057";"PENTA CORVESE";;"20230";"CANALE-DI-VERDE";"Pylône autostable"; 15.0;"SFR"
26969;9.32500;42.01056;"09° 19' 30.00'' Est, 42° 00' 38.00'' Nord";"2B251";;"MAIRIE LE VILLAGE";"20243";"PRUNELLI-DI-FIUMORBO";"Immeuble"; 16.0;"Commune, communauté de commune"
45869;9.49667;42.12972;"09° 29' 48.00'' Est, 42° 07' 47.00'' Nord";"2B009";"BASTARDI";;"20270";"ALERIA";"Bâtiment"; 10.0;
91120;9.31722;42.50611;"09° 19' 02.00'' Est, 42° 30' 22.00'' Nord";"2B055";"LONGO";"NATIONALE 193 - ACCENDI PIPA";"20252";"CAMPITELLO";"Pylône autostable"; 24.0;"ORANGE"
91150;9.38889;42.67972;"09° 23' 20.00'' Est, 42° 40' 47.00'' Nord";"2B029";"TERRAIN COMMUNAL";"COL DE TEGHIME";"20253";"BARBAGGIO";"Pylône autostable"; 13.0;"ORANGE"
91156;8.87556;42.60750;"08° 52' 32.00'' Est, 42° 36' 27.00'' Nord";"2B020";"RÉGINIELLA";"PRÈS N.197 HÔT. PASCAL PAOLI";"20220";"AREGNO";"Immeuble"; 15.0;"Particulier"
114527;9.49056;42.33167;"09° 29' 26.00'' Est, 42° 19' 54.00'' Nord";"2B087";;"MAIRIE RUE PHILIPPE PESCETTI";"20221";"CERVIONE";"Bâtiment"; 30.0;"Commune, communauté de commune"
121156;9.36861;42.37417;"09° 22' 07.00'' Est, 42° 22' 27.00'' Nord";"2B219";"VILLAGE";"PAESE";"20229";"PIEDICROCE";"Bâtiment"; 10.0;"ORANGE Services Fixes"
121202;9.21417;42.09583;"09° 12' 51.00'' Est, 42° 05' 45.00'' Nord";"2B124";"AJA";"RN 194";"20227";"GHISONI";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
