Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
18394;1.21250;49.70556;"01° 12' 45.00'' Est, 49° 42' 20.00'' Nord";"76193";"LA CROIX DE BOIS";;"76850";"LA CRIQUE";"Pylône autostable"; 55.0;"ORANGE Services Fixes"
18396;1.22528;49.71194;"01° 13' 31.00'' Est, 49° 42' 43.00'' Nord";"76070";"HAMEAU ST MARTIN";;"76680";"BELLENCOMBRE";"Pylône autostable"; 12.0;"ORANGE Services Fixes"
18452;1.27083;49.39361;"01° 16' 15.00'' Est, 49° 23' 37.00'' Nord";"76434";"MESNIL RAOUL";"R DU CEDRE/R DU PETIT HAMEL";"76520";"MESNIL-RAOUL";"Pylône tubulaire"; 15.0;"ORANGE Services Fixes"
18468;0.07000;49.51250;"00° 04' 12.00'' Est, 49° 30' 45.00'' Nord";"76552";"PHARE DE LA HÈVE";;"76310";"SAINTE-ADRESSE";"Phare"; 41.0;
39655;1.05250;49.42222;"01° 03' 09.00'' Est, 49° 25' 20.00'' Nord";"76498";;"226 TER, AV DES ALLIÉS";"76140";"LE PETIT-QUEVILLY";"Bâtiment"; 54.0;"Commune, communauté de commune"
39677;1.08806;49.43806;"01° 05' 17.00'' Est, 49° 26' 17.00'' Nord";"76540";;"TUNNEL DE LA GRAND-MARE";"76000";"ROUEN";"Tunnel"; 10.0;
46494;0.37500;49.76111;"00° 22' 30.00'' Est, 49° 45' 40.00'' Nord";"76259";;"CAPITAINERIE DU PORT BASSIN DE PORT GAYANT";"76400";"FECAMP";"Bâtiment"; 11.0;
46496;0.36861;49.76111;"00° 22' 07.00'' Est, 49° 45' 40.00'' Nord";"76259";;"BUREAU DU PORT BÉRIGNY";"76400";"FECAMP";"Bâtiment"; 13.0;
61981;0.72500;49.57306;"00° 43' 30.00'' Est, 49° 34' 23.00'' Nord";"76758";"BELLE VUE";"D 131";"76190";"YVETOT";"Bâtiment"; 40.0;"Association"
65581;1.62861;49.73972;"01° 37' 43.00'' Est, 49° 44' 23.00'' Nord";"76372";"LA CLOUTERIE";;"76390";"ILLOIS";"Pylône autostable"; 18.0;"Sociétés d'Autoroutes"
65812;0.26806;49.52444;"00° 16' 05.00'' Est, 49° 31' 28.00'' Nord";"76596";"TERRAIN DE FOOTBALL";;"76700";"SAINT-LAURENT-DE-BREVEDENT";"Pylône autostable"; 20.0;"ORANGE"
85377;0.77056;49.70722;"00° 46' 14.00'' Est, 49° 42' 26.00'' Nord";"76340";"LA CHAMBRETTE";"CH DE LA BARRIÈRE À BASCULE";"76560";"HARCANVILLE";"Pylône autostable"; 49.0;"CELLNEX"
